city,year,weekofyear,total_cases
sj,2011,28,24
sj,2011,29,34
sj,2011,30,42
sj,2011,31,48
sj,2011,32,38
sj,2011,33,52
sj,2011,34,47
sj,2011,35,57
sj,2011,36,69
sj,2011,37,65
sj,2011,38,51
sj,2011,39,54
sj,2011,40,55
sj,2011,41,51
sj,2011,42,47
sj,2011,43,48
sj,2011,44,55
sj,2011,45,46
sj,2011,46,40
sj,2011,47,37
sj,2011,48,33
sj,2011,49,29
sj,2011,50,27
sj,2011,51,23
sj,2012,52,21
sj,2012,1,23
sj,2012,2,24
sj,2012,3,22
sj,2012,4,22
sj,2012,5,20
sj,2012,6,19
sj,2012,7,18
sj,2012,8,17
sj,2012,9,15
sj,2012,10,15
sj,2012,11,15
sj,2012,12,14
sj,2012,13,14
sj,2012,14,14
sj,2012,15,14
sj,2012,16,14
sj,2012,17,14
sj,2012,18,14
sj,2012,19,14
sj,2012,20,14
sj,2012,21,14
sj,2012,22,16
sj,2012,23,15
sj,2012,24,17
sj,2012,25,16
sj,2012,26,27
sj,2012,27,34
sj,2012,28,32
sj,2012,29,35
sj,2012,30,40
sj,2012,31,61
sj,2012,32,65
sj,2012,33,61
sj,2012,34,88
sj,2012,35,76
sj,2012,36,81
sj,2012,37,66
sj,2012,38,61
sj,2012,39,73
sj,2012,40,69
sj,2012,41,70
sj,2012,42,71
sj,2012,43,65
sj,2012,44,67
sj,2012,45,55
sj,2012,46,65
sj,2012,47,73
sj,2012,48,59
sj,2012,49,66
sj,2012,50,48
sj,2012,51,44
sj,2013,1,37
sj,2013,2,29
sj,2013,3,29
sj,2013,4,25
sj,2013,5,25
sj,2013,6,25
sj,2013,7,21
sj,2013,8,20
sj,2013,9,23
sj,2013,10,16
sj,2013,11,18
sj,2013,12,14
sj,2013,13,14
sj,2013,14,14
sj,2013,15,14
sj,2013,16,14
sj,2013,17,14
iq,2010,26,6
iq,2010,27,6
iq,2010,28,6
iq,2010,29,6
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,6
iq,2010,34,6
iq,2010,35,5
iq,2010,36,7
iq,2010,37,5
iq,2010,38,6
iq,2010,39,6
iq,2010,40,6
iq,2010,41,6
iq,2010,42,7
iq,2010,43,6
iq,2010,44,8
iq,2010,45,8
iq,2010,46,9
iq,2010,47,9
iq,2010,48,8
iq,2010,49,7
iq,2010,50,9
iq,2010,51,8
iq,2011,52,9
iq,2011,1,8
iq,2011,2,9
iq,2011,3,8
iq,2011,4,7
iq,2011,5,6
iq,2011,6,8
iq,2011,7,11
iq,2011,8,8
iq,2011,9,6
iq,2011,10,6
iq,2011,11,8
iq,2011,12,7
iq,2011,13,7
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,7
iq,2011,18,9
iq,2011,19,7
iq,2011,20,6
iq,2011,21,5
iq,2011,22,6
iq,2011,23,7
iq,2011,24,6
iq,2011,25,6
iq,2011,26,5
iq,2011,27,6
iq,2011,28,6
iq,2011,29,6
iq,2011,30,6
iq,2011,31,5
iq,2011,32,5
iq,2011,33,5
iq,2011,34,5
iq,2011,35,5
iq,2011,36,5
iq,2011,37,5
iq,2011,38,7
iq,2011,39,7
iq,2011,40,6
iq,2011,41,9
iq,2011,42,10
iq,2011,43,9
iq,2011,44,9
iq,2011,45,10
iq,2011,46,11
iq,2011,47,11
iq,2011,48,8
iq,2011,49,9
iq,2011,50,10
iq,2011,51,11
iq,2012,52,10
iq,2012,1,10
iq,2012,2,9
iq,2012,3,9
iq,2012,4,6
iq,2012,5,8
iq,2012,6,9
iq,2012,7,7
iq,2012,8,7
iq,2012,9,6
iq,2012,10,7
iq,2012,11,6
iq,2012,12,6
iq,2012,13,5
iq,2012,14,6
iq,2012,15,7
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,6
iq,2012,20,6
iq,2012,21,7
iq,2012,22,5
iq,2012,23,5
iq,2012,24,5
iq,2012,25,6
iq,2012,26,5
iq,2012,27,5
iq,2012,28,5
iq,2012,29,5
iq,2012,30,5
iq,2012,31,6
iq,2012,32,6
iq,2012,33,6
iq,2012,34,6
iq,2012,35,7
iq,2012,36,7
iq,2012,37,5
iq,2012,38,6
iq,2012,39,6
iq,2012,40,6
iq,2012,41,8
iq,2012,42,6
iq,2012,43,8
iq,2012,44,10
iq,2012,45,9
iq,2012,46,11
iq,2012,47,10
iq,2012,48,10
iq,2012,49,11
iq,2012,50,8
iq,2012,51,8
iq,2013,1,9
iq,2013,2,9
iq,2013,3,6
iq,2013,4,11
iq,2013,5,9
iq,2013,6,10
iq,2013,7,11
iq,2013,8,8
iq,2013,9,9
iq,2013,10,7
iq,2013,11,7
iq,2013,12,7
iq,2013,13,7
iq,2013,14,7
iq,2013,15,7
iq,2013,16,7
iq,2013,17,7
iq,2013,18,7
iq,2013,19,7
iq,2013,20,6
iq,2013,21,7
iq,2013,22,6
iq,2013,23,6
iq,2013,24,7
iq,2013,25,6
iq,2013,26,6
